Column1,tn,fn,tp,fp,准确率,精确率,召回率,F1
0,3464,3448,0,0,0.501157403,,0,
1,201,14,3434,3263,0.525896966,0.512766898,0.995939672,0.676983724
2,3464,3448,0,0,0.501157403,,0,
3,356,53,3395,3108,0.542679369,0.522066712,0.984628797,0.682343467
4,3463,3449,0,0,0.501012743,,0,
5,298,39,3410,3165,0.536458313,0.51863116,0.988692403,0.68036711
6,394,60,3388,3070,0.547164381,0.524620652,0.982598603,0.684029902
7,464,77,3373,2998,0.555121541,0.529430211,0.97768116,0.686895411
8,361,52,3396,3103,0.543547451,0.52254194,0.984918773,0.682818945
9,2898,2419,1030,565,0.568287015,0.645768046,0.298637301,0.408406045
10,361,51,3396,3104,0.543547451,0.522461534,0.985204518,0.682818934
11,1498,769,2679,1966,0.604311347,0.576749206,0.776972175,0.662053641
12,1006,371,3079,2456,0.591001153,0.556278229,0.892463744,0.685364489
13,624,128,3321,2839,0.570746541,0.539123356,0.962887764,0.69122695
14,1224,509,2938,2241,0.602141201,0.567290962,0.852335393,0.681196377
15,1006,362,3087,2457,0.592158556,0.556818187,0.895042062,0.686533981
16,835,243,3204,2630,0.584346056,0.549194396,0.929503918,0.690442855
17,3190,2798,651,273,0.555700243,0.704545438,0.188750356,0.297736099
18,1780,948,2500,1684,0.619212985,0.597514331,0.725058019,0.655136269
19,2512,1733,1716,951,0.611689806,0.643419564,0.497535527,0.561151082
20,1377,624,2824,2087,0.607783556,0.575035632,0.819025517,0.675678905
21,2396,1512,1935,1069,0.626591444,0.644141138,0.561357677,0.599906973
22,1894,1000,2450,1568,0.628472209,0.609756112,0.710144937,0.656132846
23,1691,832,2615,1774,0.622974515,0.595807672,0.758630693,0.667432345
24,1764,883,2564,1701,0.626157403,0.601172328,0.743835211,0.664937753
25,1981,1021,2427,1483,0.637731493,0.620716095,0.70388633,0.659690132
26,2108,1091,2357,1356,0.645978034,0.634796679,0.68358469,0.65828796
27,1985,959,2491,1477,0.647569418,0.627772152,0.722028971,0.671609578
28,2574,1504,1944,890,0.653645813,0.68595624,0.563805103,0.618911172
29,2042,954,2495,1421,0.65639466,0.637129724,0.723398089,0.677528854
30,2152,1031,2417,1312,0.661024332,0.648163021,0.700986087,0.673540466
31,2010,871,2579,1452,0.66391784,0.639791608,0.747536242,0.689480016
32,2556,1307,2140,909,0.679398119,0.701869488,0.620829701,0.658867002
33,2478,1199,2247,988,0.68359375,0.69459039,0.65206039,0.672653797
34,2263,963,2486,1200,0.687065959,0.674443841,0.720788658,0.696846542
35,2391,1045,2404,1072,0.693721056,0.691599548,0.697013617,0.694296028
36,1380,379,3068,2085,0.643518507,0.59538132,0.890049338,0.71348837
37,2144,784,2662,1322,0.6953125,0.668172717,0.772489846,0.716554525
38,2102,760,2688,1362,0.692997694,0.66370368,0.779582381,0.71699119
39,2239,841,2605,1227,0.700810194,0.679801643,0.755948901,0.715855978
40,2429,998,2451,1034,0.706018507,0.70329988,0.710640788,0.706951278
41,2202,781,2668,1261,0.704571784,0.679053187,0.773557544,0.72323122
42,2632,1159,2288,833,0.711805582,0.733098388,0.663765609,0.696711346
43,2682,1199,2248,783,0.713252306,0.741669416,0.6521613,0.694041371
44,2746,1286,2161,719,0.709924757,0.750347197,0.626921952,0.683104141
45,3006,1704,1745,457,0.68735534,0.792461395,0.505943775,0.617589823
46,2214,765,2683,1250,0.708478034,0.682176471,0.77813226,0.727001774
47,2105,670,2778,1359,0.706452549,0.6715011,0.805684447,0.732498356
48,2397,904,2546,1065,0.715133131,0.705067873,0.737971008,0.721144324
49,1410,283,3165,2054,0.661892354,0.606438041,0.91792345,0.730356549
50,2895,1419,2029,569,0.712384284,0.780985355,0.588457048,0.671187537
51,2497,963,2486,966,0.720920146,0.720162213,0.720788658,0.720475299
52,2362,824,2624,1102,0.721354187,0.704240501,0.761020899,0.73153055
53,2399,867,2582,1064,0.720630765,0.708173335,0.748622775,0.727836495
54,2035,587,2862,1428,0.708478034,0.667132854,0.829805732,0.739630432
55,2612,1055,2391,854,0.723813653,0.736825883,0.693847954,0.714691383
56,2568,996,2453,895,0.72641784,0.732676208,0.711220622,0.721789005
57,2618,1033,2416,845,0.728298604,0.740877032,0.700492918,0.720119237
